Order_ID,Driver_ID,Delivery_Date,City,Pincode,Latitude,Longitude,Delivery_Status,Attempt_Count,Delivery_Time_Minutes,SLA_Minutes,Customer_Rating,Address_Quality,Route_Status,Exception_Type,Exception_Flag,Severity,Recommended_Action
ORD000001,DRV0164,2026-01-07,Bengaluru,644194,12.996436,77.587687,Delivered,1,25,30,4.3,Poor,Normal,No Exception,No,None,No action required
ORD000002,DRV0152,2026-01-09,Kolkata,515622,22.517006,88.379845,Delivered,1,98,120,2.9,Good,Normal,No Exception,No,None,No action required
ORD000003,DRV0184,2026-02-26,Kolkata,735514,22.651561,88.402272,Failed,1,27,30,2.6,Good,Normal,No Exception,No,None,No action required
ORD000004,DRV0088,2026-02-09,Pune,612886,18.491356,73.830442,Delivered,1,51,90,3.0,Good,Normal,No Exception,No,None,No action required
ORD000005,DRV0155,2026-01-12,Pune,740870,18.532498,73.761036,Failed,5,50,90,3.6,Poor,Normal,Driver/Attempt Issue,Yes,Medium,Investigate delivery attempts
ORD000006,DRV0213,2026-05-28,Delhi,600814,28.654722,77.132806,Returned,1,31,45,2.8,Good,Normal,No Exception,No,None,No action required
ORD000007,DRV0222,2026-04-08,Bengaluru,645738,12.926199,77.523985,Delivered,1,35,60,3.6,Good,Normal,No Exception,No,None,No action required
ORD000008,DRV0054,2026-06-29,Pune,537435,18.488926,73.886586,Failed,1,106,120,3.8,Good,Normal,No Exception,No,None,No action required
ORD000009,DRV0119,2026-03-11,Kolkata,792002,22.545381,88.369446,Delivered,1,18,30,4.0,Good,Normal,No Exception,No,None,No action required
ORD000010,DRV0103,2026-01-17,Pune,610615,18.490387,73.904072,Failed,2,36,60,2.7,Good,Normal,No Exception,No,None,No action required
ORD000011,DRV0227,2026-02-06,Ahmedabad,638873,22.992415,72.664014,Delivered,1,94,120,2.8,Good,Normal,No Exception,No,None,No action required
ORD000012,DRV0230,2026-04-03,Kolkata,614987,22.545918,88.363624,Delivered,1,27,30,4.8,Good,Normal,No Exception,No,None,No action required
ORD000013,DRV0040,2026-06-24,Chennai,721333,13.123827,80.209658,Failed,1,83,90,3.3,Good,Normal,No Exception,No,None,No action required
ORD000014,DRV0249,2026-06-24,Hyderabad,560058,17.523916,78.546382,Returned,2,54,60,3.0,Good,Normal,No Exception,No,None,No action required
ORD000015,DRV0076,2026-02-10,Kolkata,737881,22.609523,88.372468,Delivered,3,46,60,2.7,Good,Normal,No Exception,No,None,No action required
ORD000016,DRV0223,2026-06-13,Pune,766161,18.469946,73.777535,Failed,1,54,60,3.2,Good,Normal,No Exception,No,None,No action required
ORD000017,DRV0154,2026-05-06,Delhi,510211,28.590868,77.261856,Delivered,2,37,60,3.2,Good,Normal,No Exception,No,None,No action required
ORD000018,DRV0225,2026-01-22,Bengaluru,754798,12.915072,77.601321,Delivered,3,109,120,4.5,Good,Normal,No Exception,No,None,No action required
ORD000019,DRV0169,2026-05-21,Ahmedabad,586574,22.988654,72.601984,Delivered,1,87,120,2.5,Good,Anomaly,Route Issue,Yes,Medium,Review route assignment
ORD000020,DRV0183,2026-04-13,Pune,695779,-150.0,73.901087,Delivered,2,152,90,4.3,Good,Normal,Geocode Issue,Yes,Critical,Review and correct coordinates
ORD000021,DRV0017,2026-01-06,Delhi,790414,28.571939,77.193539,Delivered,1,16,30,4.7,Good,Normal,No Exception,No,None,No action required
ORD000022,DRV0018,2026-03-26,Hyderabad,537149,17.309592,78.541682,Failed,1,58,90,2.7,Poor,Normal,No Exception,No,None,No action required
ORD000023,DRV0186,2026-03-04,Ahmedabad,747974,22.967183,72.51159,Delivered,1,25,30,4.3,Good,Normal,No Exception,No,None,No action required
ORD000024,DRV0109,2026-04-30,Kolkata,528401,22.61434,88.378728,Returned,1,15,30,3.7,Good,Normal,No Exception,No,None,No action required
ORD000025,DRV0205,2026-03-05,Bengaluru,600448,12.989682,77.562344,Delivered,1,35,45,4.4,Good,Normal,No Exception,No,None,No action required
ORD000026,DRV0119,2026-01-20,Mumbai,732328,19.150772,72.894609,Failed,1,113,120,3.7,Missing,Normal,Address Issue,Yes,High,Verify delivery address
ORD000027,DRV0238,2026-02-12,Mumbai,713078,18.945013,72.918795,Delivered,1,48,90,2.6,Good,Normal,No Exception,No,None,No action required
ORD000028,DRV0001,2026-03-09,Kolkata,738555,22.501662,88.416025,Delivered,1,102,120,3.8,Good,Normal,No Exception,No,None,No action required
ORD000029,DRV0049,2026-02-25,Pune,530662,18.509416,73.874556,Failed,1,26,30,3.5,Good,Normal,No Exception,No,None,No action required
ORD000030,DRV0013,2026-05-09,Ahmedabad,778463,22.983037,72.608586,Delivered,1,65,120,2.7,Good,Normal,No Exception,No,None,No action required
ORD000031,DRV0153,2026-06-22,Bengaluru,623314,12.931175,77.569512,Delivered,1,202,120,4.8,Poor,Normal,SLA Breach,Yes,High,Escalate to operations
ORD000032,DRV0159,2026-04-18,Bengaluru,796341,12.996672,77.652509,Failed,1,36,60,4.7,Good,Normal,No Exception,No,None,No action required
ORD000033,DRV0068,2026-02-03,Kolkata,657284,22.546112,88.389563,Delivered,1,15,30,4.7,Good,Normal,No Exception,No,None,No action required
ORD000034,DRV0019,2026-05-10,Mumbai,639041,19.144593,72.886478,Delivered,2,18,30,4.7,Good,Normal,No Exception,No,None,No action required
ORD000035,DRV0041,2026-05-20,Ahmedabad,658606,22.987397,72.555017,Failed,3,60,120,3.1,Poor,Normal,No Exception,No,None,No action required
ORD000036,DRV0239,2026-02-04,Bengaluru,638656,13.035287,77.580002,Delivered,2,69,120,4.7,Good,Normal,No Exception,No,None,No action required
ORD000037,DRV0155,2026-03-29,Mumbai,606743,19.076256,72.865971,Returned,1,46,60,3.5,Good,Normal,No Exception,No,None,No action required
ORD000038,DRV0232,2026-01-24,Hyderabad,722075,17.365224,78.472243,Delivered,1,126,60,3.3,Good,Normal,SLA Breach,Yes,High,Escalate to operations
ORD000039,DRV0042,2026-05-22,Ahmedabad,724231,23.014436,72.591603,Failed,1,26,30,3.8,Good,Normal,No Exception,No,None,No action required
ORD000040,DRV0214,2026-05-30,Delhi,789682,28.566747,77.279198,Delivered,1,19,30,4.9,Good,Normal,No Exception,No,None,No action required
ORD000041,DRV0231,2026-02-23,Delhi,630825,28.517961,77.207674,Returned,1,86,120,3.2,Poor,Normal,No Exception,No,None,No action required
ORD000042,DRV0237,2026-02-11,Mumbai,592826,19.081117,72.85607,Delivered,1,140,60,3.8,Good,Normal,SLA Breach,Yes,High,Escalate to operations
ORD000043,DRV0069,2026-06-29,Chennai,556673,13.073082,80.285777,Delivered,2,59,90,2.9,Good,Normal,No Exception,No,None,No action required
ORD000044,DRV0090,2026-02-28,Pune,616876,18.537391,73.856331,Delivered,5,66,90,3.1,Good,Normal,Driver/Attempt Issue,Yes,Medium,Investigate delivery attempts
ORD000045,DRV0248,2026-03-31,Pune,767075,18.577541,73.894297,Delivered,1,81,120,3.1,Good,Normal,No Exception,No,None,No action required
ORD000046,DRV0225,2026-02-15,Pune,639180,18.480309,73.925901,Delivered,1,67,90,4.1,Good,Normal,No Exception,No,None,No action required
ORD000047,DRV0156,2026-04-09,Bengaluru,599656,13.000943,77.704123,Delivered,1,45,90,2.7,Poor,Normal,No Exception,No,None,No action required
ORD000048,DRV0094,2026-01-18,Kolkata,673119,22.547928,88.410058,Failed,1,26,30,3.0,Good,Normal,No Exception,No,None,No action required
ORD000049,DRV0171,2026-03-25,Kolkata,710973,22.577583,88.338726,Returned,1,28,45,4.2,Good,Normal,No Exception,No,None,No action required
ORD000050,DRV0174,2026-06-07,Chennai,798375,13.083157,80.252423,Delivered,1,19,30,3.1,Good,Normal,No Exception,No,None,No action required
ORD000051,DRV0111,2026-04-30,Delhi,731623,150.0,77.23268,Delivered,1,90,120,4.2,Good,Normal,Geocode Issue,Yes,Critical,Review and correct coordinates
ORD000052,DRV0073,2026-01-24,Delhi,623138,28.644927,77.200953,Returned,1,26,45,2.8,Good,Normal,No Exception,No,None,No action required
ORD000053,DRV0063,2026-06-06,Ahmedabad,538182,22.983337,72.555297,Delivered,1,72,120,4.8,Good,Normal,No Exception,No,None,No action required
ORD000054,DRV0103,2026-02-07,Mumbai,502907,19.058163,72.905506,Delivered,2,27,45,4.1,Poor,Normal,No Exception,No,None,No action required
ORD000055,DRV0013,2026-02-01,Mumbai,739317,19.087373,72.943057,Delivered,2,95,120,3.8,Missing,Normal,Address Issue,Yes,High,Verify delivery address
ORD000056,DRV0244,2026-06-06,Ahmedabad,764649,23.006275,72.561107,Delivered,2,88,120,4.7,Good,Normal,No Exception,No,None,No action required
ORD000057,DRV0116,2026-03-05,Pune,645391,18.533394,73.895791,Failed,1,30,45,3.3,Good,Normal,No Exception,No,None,No action required
ORD000058,DRV0183,2026-03-02,Pune,642456,18.58537,73.813343,Delivered,1,65,120,4.7,Good,Normal,No Exception,No,None,No action required
ORD000059,DRV0060,2026-06-27,Kolkata,580113,22.585125,88.381222,Returned,1,71,90,4.1,Good,Normal,No Exception,No,None,No action required
ORD000060,DRV0107,2026-02-22,Hyderabad,720276,17.396314,78.52907,Delivered,2,104,120,2.5,Good,Normal,No Exception,No,None,No action required
ORD000061,DRV0123,2026-04-01,Hyderabad,656559,17.399654,78.450982,Delivered,2,79,90,2.5,Poor,Normal,No Exception,No,None,No action required
ORD000062,DRV0125,2026-03-11,Mumbai,728503,19.084742,72.816857,Delivered,1,51,60,4.2,Good,Normal,No Exception,No,None,No action required
ORD000063,DRV0216,2026-02-02,Ahmedabad,780034,22.962935,72.604228,Delivered,2,96,120,4.3,Good,Normal,No Exception,No,None,No action required
ORD000064,DRV0165,2026-02-04,Kolkata,742062,22.535041,88.307379,Delivered,1,65,90,4.4,Good,Normal,No Exception,No,None,No action required
ORD000065,DRV0084,2026-04-08,Delhi,645886,28.662069,77.229639,Delivered,1,22,30,4.1,Good,Normal,No Exception,No,None,No action required
ORD000066,DRV0244,2026-02-27,Delhi,535975,28.570518,77.216293,Returned,1,68,30,3.4,Good,Normal,SLA Breach,Yes,High,Escalate to operations
ORD000067,DRV0160,2026-03-03,Chennai,566176,13.038224,80.229909,Delivered,1,73,120,4.9,Good,Normal,No Exception,No,None,No action required
ORD000068,DRV0197,2026-02-12,Delhi,560048,28.657834,77.19702,Delivered,3,24,30,4.1,Good,Normal,No Exception,No,None,No action required
ORD000069,DRV0148,2026-04-12,Kolkata,603981,22.57325,88.436577,Delivered,1,25,45,3.9,Good,Normal,No Exception,No,None,No action required
ORD000070,DRV0204,2026-03-30,Hyderabad,779311,17.31468,78.484974,Delivered,1,23,30,4.3,Good,Normal,No Exception,No,None,No action required
ORD000071,DRV0218,2026-05-06,Kolkata,555332,22.519055,88.388024,Delivered,3,54,90,4.9,Good,Normal,No Exception,No,None,No action required
ORD000072,DRV0188,2026-06-07,Pune,782157,150.0,-200.0,Delivered,1,77,120,4.9,Good,Normal,Geocode Issue,Yes,Critical,Review and correct coordinates
ORD000073,DRV0213,2026-03-13,Bengaluru,736350,12.92926,77.518858,Delivered,2,99,120,4.6,Good,Normal,No Exception,No,None,No action required
ORD000074,DRV0008,2026-03-25,Ahmedabad,595336,22.976198,72.545752,Delivered,1,40,60,3.9,Good,Normal,No Exception,No,None,No action required
ORD000075,DRV0143,2026-05-13,Hyderabad,600168,17.393659,78.505966,Delivered,1,76,90,1.4,Poor,Normal,Customer Experience Issue,Yes,High,Investigate customer issue
ORD000076,DRV0177,2026-06-15,Ahmedabad,757331,23.034048,72.530953,Delivered,2,19,30,5.0,Good,Normal,No Exception,No,None,No action required
