Order_ID,Driver_ID,Delivery_Date,City,Pincode,Delivery_Status,Attempt_Count,Delivery_Time_Minutes,SLA_Minutes,Customer_Rating,Address_Quality,Route_Status,Exception_Type,Severity,Recommended_Action
ORD000020,DRV0183,2026-04-13,Pune,695779,Delivered,2,152,90,4.3,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002628,DRV0016,2026-04-18,Mumbai,545173,Failed,2,23,45,3.9,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002583,DRV0119,2026-04-28,Bengaluru,503185,Failed,1,49,60,3.7,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002565,DRV0214,2026-05-29,Hyderabad,615539,Delivered,1,51,60,4.3,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002544,DRV0063,2026-01-23,Pune,650718,Failed,1,60,120,3.7,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002530,DRV0147,2026-06-18,Chennai,779469,Delivered,1,60,45,4.6,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002506,DRV0236,2026-01-21,Mumbai,709747,Delivered,1,20,30,2.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002502,DRV0030,2026-03-10,Pune,789662,Delivered,1,23,45,4.1,Missing,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002498,DRV0218,2026-05-31,Bengaluru,514481,Delivered,2,76,120,4.1,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002496,DRV0244,2026-01-03,Pune,664768,Delivered,1,43,60,4.6,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002494,DRV0015,2026-04-05,Delhi,623373,Delivered,1,25,30,3.8,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002489,DRV0229,2026-02-17,Ahmedabad,790980,Failed,2,22,30,4.1,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002481,DRV0232,2026-05-07,Ahmedabad,672761,Delivered,4,83,120,3.7,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002672,DRV0025,2026-06-27,Delhi,745124,Failed,1,52,90,3.3,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002671,DRV0063,2026-03-20,Delhi,731912,Failed,1,118,90,3.7,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD002650,DRV0123,2026-05-17,Hyderabad,572135,Returned,2,22,30,4.5,Missing,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009971,DRV0030,2026-03-10,Bengaluru,695753,Failed,2,104,120,3.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009966,DRV0147,2026-05-10,Delhi,584824,Returned,1,63,90,4.0,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009952,DRV0225,2026-03-09,Delhi,562099,Delivered,1,70,90,3.3,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009937,DRV0146,2026-05-09,Ahmedabad,585188,Delivered,1,23,30,1.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD003355,DRV0108,2026-01-05,Pune,744375,Failed,1,23,30,4.6,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD004895,DRV0157,2026-06-07,Pune,545376,Delivered,1,112,120,4.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD007006,DRV0111,2026-03-30,Kolkata,586956,Failed,1,23,45,3.1,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD008015,DRV0190,2026-01-31,Pune,687574,Delivered,1,64,90,3.9,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009992,DRV0236,2026-01-30,Hyderabad,614775,Delivered,1,90,120,3.0,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009990,DRV0152,2026-02-02,Bengaluru,661605,Delivered,1,17,30,4.0,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009980,DRV0017,2026-05-06,Bengaluru,650278,Failed,2,38,45,2.0,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000153,DRV0090,2026-03-02,Chennai,553899,Delivered,1,67,45,3.1,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000152,DRV0057,2026-02-13,Delhi,540044,Failed,1,147,120,2.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000150,DRV0030,2026-01-06,Kolkata,670272,Delivered,2,89,120,5.0,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000128,DRV0209,2026-03-26,Mumbai,577360,Failed,1,26,45,2.7,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000051,DRV0111,2026-04-30,Delhi,731623,Delivered,1,90,120,4.2,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009360,DRV0015,2026-03-22,Ahmedabad,628619,Delivered,1,51,60,4.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009475,DRV0239,2026-06-17,Delhi,671568,Delivered,1,41,60,4.1,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009466,DRV0016,2026-04-17,Delhi,579707,Returned,1,88,120,3.9,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009450,DRV0207,2026-04-04,Bengaluru,563369,Delivered,1,81,120,4.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009444,DRV0050,2026-05-01,Ahmedabad,565766,Delivered,1,42,45,3.0,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009435,DRV0191,2026-02-09,Hyderabad,766576,Delivered,1,37,45,3.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009426,DRV0221,2026-01-03,Kolkata,718408,Returned,1,31,45,4.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009549,DRV0041,2026-06-29,Bengaluru,697172,Failed,3,21,30,3.0,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009534,DRV0223,2026-06-11,Pune,785209,Failed,1,40,60,3.9,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009533,DRV0073,2026-03-10,Pune,635133,Delivered,1,33,60,2.7,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009604,DRV0120,2026-06-24,Chennai,763519,Delivered,1,81,120,4.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009603,DRV0242,2026-03-23,Hyderabad,782225,Delivered,1,23,45,3.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009570,DRV0032,2026-01-01,Mumbai,622307,Failed,1,68,120,4.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000294,DRV0142,2026-03-26,Chennai,793522,Delivered,3,34,45,2.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000254,DRV0014,2026-04-07,Pune,520734,Delivered,1,106,120,3.1,Missing,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009626,DRV0134,2026-03-18,Mumbai,783734,Delivered,2,16,30,2.5,Missing,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009277,DRV0038,2026-03-27,Mumbai,557440,Delivered,1,23,30,3.9,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009273,DRV0074,2026-05-06,Mumbai,701064,Delivered,1,32,45,2.7,Missing,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009251,DRV0202,2026-01-06,Pune,702528,Delivered,1,64,90,3.4,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009243,DRV0018,2026-04-16,Pune,554092,Delivered,1,45,60,2.7,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009326,DRV0132,2026-04-05,Delhi,798687,Delivered,1,24,45,3.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009324,DRV0034,2026-06-25,Delhi,576745,Failed,3,60,120,2.8,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009318,DRV0202,2026-04-16,Bengaluru,780755,Delivered,2,19,30,3.7,Good,Anomaly,Geocode Issue,Critical,Review and correct coordinates
ORD009310,DRV0013,2026-05-30,Pune,683421,Delivered,1,31,60,4.2,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009306,DRV0244,2026-02-01,Hyderabad,555105,Failed,1,40,60,3.4,Missing,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000348,DRV0043,2026-04-30,Ahmedabad,664643,Delivered,1,148,60,3.1,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000341,DRV0190,2026-04-29,Mumbai,693081,Failed,3,39,45,4.2,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000316,DRV0113,2026-01-01,Ahmedabad,724290,Delivered,3,42,45,4.7,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD000314,DRV0127,2026-03-24,Pune,648684,Delivered,1,40,45,3.1,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009372,DRV0033,2026-06-05,Ahmedabad,713029,Delivered,1,35,45,4.0,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009368,DRV0024,2026-05-05,Delhi,529717,Delivered,1,28,30,3.0,Missing,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009367,DRV0038,2026-05-05,Bengaluru,558610,Delivered,1,65,90,4.0,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009092,DRV0071,2026-03-28,Chennai,637640,Returned,1,71,120,3.3,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009066,DRV0234,2026-03-12,Pune,534554,Returned,2,25,45,2.7,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009233,DRV0231,2026-04-11,Ahmedabad,719852,Delivered,2,41,60,4.8,Poor,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009204,DRV0002,2026-03-25,Chennai,777270,Failed,1,37,45,3.6,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009203,DRV0107,2026-01-15,Bengaluru,717222,Delivered,1,82,90,3.5,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
ORD009172,DRV0172,2026-06-29,Bengaluru,649976,Failed,2,31,45,4.2,Good,Normal,Geocode Issue,Critical,Review and correct coordinates
